mins,secs,play_type,description
1,49,run,"2 WR, 2 TE, 1 RB, QB under Center, run up the middle"
2,14,pass,"3 WR, 1 TE, 1 RB, QB back, pass left side"
2,52,run,"4 WR, 1 RB, QB back, run up the middle"
3,17,pass,"4 WR, 1 RB, QB back, pass right side"
3,41,pass,"2 WR, 2 TE, 1 RB, QB back, pass up the middle"
4,15,run,"2 WR, 3 RB, QB back, QB run"
24,39,pass,"2 WR, 2 TE, 1 RB, QB back, pass up the middle"
43,58,run,"2 WR, 2 TE, 1 RB, QB back, run up the middle"
44,25,run,"3 WR, 1 TE, 1 RB, QB back, QB run"
44,56,run,"2 WR, 1 TE, 2 RB, QB under Center, run up the middle"
45,36,run,"3 WR, 1 TE, 1 RB, QB ubder Center, WR run to the right"
